,#,Jugadores,Min,Pts,TC,2 Pts,3 Pts,TL,REBO,REBD,REB,AST,FP,TO,ROB,BLQ,+/-,EFF,TCc,TCi,2Pc,2Pi,3Pc,3Pi,TLc,TLi,game,Res,PTS_OPP,TCi_OPP,TCc_OPP,2Pi_OPP,2Pc_OPP,3Pi_OPP,3Pc_OPP,TLi_OPP,TLc_OPP,RO_OPP,RD_OPP,AST_OPP,TO_OPP,ROB_OPP,FP_OPP
13,Totales,Nueva Zelanda,200,74.0,22/51  43.1%,11/26  42.3%,11/25  44%,19/24  79.2%,13.0,29.0,42.0,17.0,24.0,21.0,3.0,3.0,-9,82,22.0,51.0,11.0,26.0,11.0,25.0,19.0,24.0,/es/basketballworldcup/2023/game/3008/Greece-New-Zealand,0.0,83.0,70.0,28.0,38.0,17.0,32.0,11.0,20.0,16.0,14.0,20.0,19.0,6.0,10.0,24.0
13,Totales,Irán,200,65.0,23/64  35.9%,17/41  41.5%,6/23  26.1%,13/17  76.5%,11,20,31,19.0,13,8,7.0,1.0,-20.0,70.0,23.0,64.0,17.0,41.0,6.0,23.0,13.0,17.0,/es/basketballworldcup/2023/game/3008/Iran-Spain,0.0,85.0,67.0,35.0,41.0,26.0,26.0,9.0,9.0,6.0,13.0,30.0,32.0,11.0,3.0,18.0
13,Totales,España,200,85.0,35/67  52.2%,26/41  63.4%,9/26  34.6%,6/9  66.7%,13.0,30.0,43.0,32.0,18.0,11.0,3.0,7.0,20,121,35.0,67.0,26.0,41.0,9.0,26.0,6.0,9.0,/es/basketballworldcup/2023/game/3008/Iran-Spain,1.0,65.0,64.0,23.0,41.0,17.0,23.0,6.0,17.0,13.0,11.0,20.0,19.0,8.0,7.0,13.0
13,Totales,Cabo Verde,200,77.0,27/65  41.5%,24/46  52.2%,3/19  15.8%,20/29  69%,14.0,19.0,33.0,17.0,21.0,12.0,6.0,3.0,-23,73,27.0,65.0,24.0,46.0,3.0,19.0,20.0,29.0,/es/basketballworldcup/2023/game/3108/Cape-Verde-Finland,0.0,100.0,69.0,35.0,33.0,21.0,36.0,14.0,22.0,16.0,16.0,27.0,33.0,12.0,7.0,27.0
13,Totales,Finlandia,200,100.0,35/69  50.7%,21/33  63.6%,14/36  38.9%,16/22  72.7%,16,27,43,33.0,27,12,7.0,5.0,23.0,136.0,35.0,69.0,21.0,33.0,14.0,36.0,16.0,22.0,/es/basketballworldcup/2023/game/3108/Cape-Verde-Finland,1.0,77.0,65.0,27.0,46.0,24.0,19.0,3.0,29.0,20.0,14.0,19.0,17.0,12.0,6.0,21.0
13,Totales,Angola,200,76.0,25/63  39.7%,20/37  54.1%,5/26  19.2%,21/34  61.8%,19,23,42,19.0,26,17,9.0,1.0,-7.0,75.0,25.0,63.0,20.0,37.0,5.0,26.0,21.0,34.0,/es/basketballworldcup/2023/game/3108/Angola-China,0.0,83.0,55.0,27.0,39.0,22.0,16.0,5.0,33.0,24.0,8.0,25.0,22.0,17.0,7.0,24.0
13,Totales,China,200,83.0,27/55  49.1%,22/39  56.4%,5/16  31.2%,24/33  72.7%,8.0,25.0,33.0,22.0,24.0,17.0,7.0,4.0,7,93,27.0,55.0,22.0,39.0,5.0,16.0,24.0,33.0,/es/basketballworldcup/2023/game/3108/Angola-China,1.0,76.0,63.0,25.0,37.0,20.0,26.0,5.0,34.0,21.0,19.0,23.0,19.0,17.0,9.0,26.0
13,Totales,Nueva Zelanda,200,100.0,31/67  46.3%,14/26  53.8%,17/41  41.5%,21/28  75%,14,20,34,29.0,24,14,5.0,1.0,-8.0,109.0,31.0,67.0,14.0,26.0,17.0,41.0,21.0,28.0,/es/basketballworldcup/2023/game/3108/New-Zealand-Mexico,0.0,108.0,72.0,37.0,47.0,23.0,25.0,14.0,25.0,20.0,16.0,25.0,27.0,13.0,8.0,25.0
13,Totales,México,200,108.0,37/72  51.4%,23/47  48.9%,14/25  56%,20/25  80%,16.0,25.0,41.0,27.0,25.0,13.0,8.0,0.0,8,122,37.0,72.0,23.0,47.0,14.0,25.0,20.0,25.0,/es/basketballworldcup/2023/game/3108/New-Zealand-Mexico,1.0,100.0,67.0,31.0,26.0,14.0,41.0,17.0,28.0,21.0,14.0,20.0,29.0,14.0,5.0,24.0
13,Totales,Costa de Marfil,200,84.0,30/67  44.8%,21/39  53.8%,9/28  32.1%,15/17  88.2%,10.0,22.0,32.0,24.0,19.0,9.0,9.0,1.0,-10,99,30.0,67.0,21.0,39.0,9.0,28.0,15.0,17.0,/es/basketballworldcup/2023/game/3108/Cote-d-Ivoire-Lebanon,0.0,94.0,58.0,29.0,26.0,13.0,32.0,16.0,25.0,20.0,9.0,28.0,25.0,14.0,3.0,17.0
