,id,Equipo,Quinteto,PTS,FGm,FGa,2Pm,2Pa,3Pm,3Pa,1Pm,1Pa,RO,RD,RT,AST,PER,REC,BLQ,POSS,PLAYS,PJ
1,/es/basketballworldcup/2023/game/2608/USA-New-Zealand,Nueva Zelanda,"['Reuben Te Rangi', 'Finn Delany', 'Shea Ili', 'Yannick Wetzell', 'Jordan Ngatai']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,/es/basketballworldcup/2023/game/2608/Spain-Cote-d-Ivoire,España,"['Willy Hernangomez', 'Alex Abrines', 'Juan Nunez', 'Juancho Hernangomez', 'Joel Parra']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,/es/basketballworldcup/2023/game/2608/Spain-Cote-d-Ivoire,Costa de Marfil,"['Bazoumana Koné', 'Amadou Sidibe', 'Maxence Dadiet', 'Cédric Bah', 'Jean Philippe Dally']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,/es/basketballworldcup/2023/game/2708/Italy-Dominican-Republic,Italia,"['Marco Spissu', 'Stefano Tonut', 'Nicolo Melli', 'Simone Fontecchio', 'Achille Polonara']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,/es/basketballworldcup/2023/game/2708/Italy-Dominican-Republic,República Dominicana,"['Victor Liz', 'Andres Feliz', 'Angel Delgado', 'Lester Quiñones', 'Karl-Anthony Towns']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,/es/basketballworldcup/2023/game/2708/Australia-Germany,Australia,"['Matisse Thybulle', 'Josh Giddey', 'Patty Mills', 'Nick Kay', 'Duop Reath']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,/es/basketballworldcup/2023/game/2708/Australia-Germany,Alemania,"['Isaac Bonga', 'Johannes Voigtmann', 'Daniel Theis', 'Dennis Schroder', 'Andreas Obst']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,/es/basketballworldcup/2023/game/2708/Montenegro-Egypt,Montenegro,"['Nikola Vucevic', 'Dino Radoncic', 'Marko Simonovic', 'Petar Popovic', 'Kendrick Perry']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,/es/basketballworldcup/2023/game/2708/Montenegro-Egypt,Egipto,"['Ehab Amin', 'Adam Moussa', 'Youssef Aboushousha', 'Patrick Gardner', 'Assem Marei']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,/es/basketballworldcup/2023/game/2708/Lebanon-Canada,Líbano,"['Omari Rasulala Spellman', 'Sergio El Darwich', 'Ali Haidar', 'Wael Arakji', 'Ali Mezher']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
